Idade_Anos,Renda_Mensal_Mil_RS,Possui_Carro,Distancia_Viagem_Km,Acesso_TP_Estacao_Prox,Tempo_Viagem_Carro_Min,Tempo_Viagem_TP_Min,Custo_Viagem_Carro_RS,Custo_Viagem_TP_RS,Escolha_Modal_Label,Escolha_Modal
67,19.4,Sim,24.8,Nao,53.3,82.1,30.0,11,Carro_Particular,0
26,14.1,Sim,1.0,Sim,5.0,5.0,6.7,7,Transporte_Publico,1
43,16.9,Sim,9.7,Sim,22.9,27.3,12.9,6,Carro_Particular,0
70,17.5,Sim,29.5,Nao,60.0,67.9,40.1,6,Carro_Particular,0
19,16.9,Sim,14.8,Nao,27.0,42.4,19.1,5,Carro_Particular,0
37,9.1,Nao,12.1,Sim,14.5,38.0,17.0,5,Carro_Particular,0
45,5.2,Sim,4.5,Sim,17.4,20.1,6.7,8,Transporte_Publico,1
64,8.5,Sim,29.3,Nao,60.0,90.0,44.2,5,Carro_Particular,0
24,17.9,Sim,1.6,Nao,5.0,21.1,5.0,5,Carro_Particular,0
61,3.8,Sim,22.4,Sim,43.7,77.2,34.6,10,Carro_Particular,0
25,10.8,Nao,23.3,Nao,41.0,65.4,35.0,5,Carro_Particular,0
64,5.4,Sim,8.1,Sim,23.3,21.9,8.9,4,Carro_Particular,0
52,12.0,Sim,20.5,Sim,38.3,67.4,26.8,7,Carro_Particular,0
31,17.4,Nao,3.7,Sim,5.0,15.3,8.6,6,Transporte_Publico,1
34,17.7,Sim,8.5,Nao,18.1,38.5,15.4,9,Carro_Particular,0
53,5.5,Sim,23.8,Sim,43.3,90.0,36.0,5,Transporte_Publico,1
67,18.2,Nao,26.1,Nao,47.0,90.0,43.8,12,Transporte_Publico,1
57,12.2,Sim,18.6,Sim,35.0,67.8,18.1,14,Carro_Particular,0
21,7.7,Sim,15.7,Sim,31.8,51.3,20.7,12,Transporte_Publico,1
19,14.5,Nao,5.6,Sim,5.0,27.6,5.0,9,Transporte_Publico,1
23,10.2,Sim,2.8,Nao,12.5,21.7,15.5,13,Carro_Particular,0
59,8.2,Sim,4.4,Sim,12.2,12.0,10.2,11,Transporte_Publico,1
21,14.4,Sim,7.6,Sim,13.4,18.5,11.0,4,Transporte_Publico,1
46,5.7,Nao,10.9,Nao,17.3,26.6,20.3,8,Transporte_Publico,1
35,7.3,Sim,12.0,Sim,23.6,29.0,23.6,13,Carro_Particular,0
43,9.3,Sim,11.0,Nao,26.5,21.9,22.0,7,Carro_Particular,0
61,5.8,Sim,7.9,Sim,19.5,25.7,16.5,4,Transporte_Publico,1
51,8.7,Sim,15.8,Nao,36.9,39.4,22.4,12,Carro_Particular,0
27,11.9,Sim,24.9,Sim,47.4,68.4,34.8,12,Carro_Particular,0
53,15.1,Sim,9.1,Nao,5.0,32.9,8.8,5,Carro_Particular,0
31,15.6,Sim,28.3,Sim,60.0,86.4,45.0,9,Transporte_Publico,1
48,16.6,Sim,26.3,Sim,51.8,82.3,38.7,6,Carro_Particular,0
65,15.1,Sim,5.7,Sim,14.7,28.0,6.5,11,Carro_Particular,0
32,13.9,Sim,23.8,Sim,55.9,78.3,33.3,7,Transporte_Publico,1
25,5.5,Sim,17.7,Sim,47.6,65.3,33.8,7,Transporte_Publico,1
31,8.6,Sim,17.4,Nao,31.6,52.8,30.9,13,Carro_Particular,0
40,10.1,Nao,12.3,Sim,25.3,49.8,27.6,9,Transporte_Publico,1
57,2.6,Sim,15.5,Nao,37.8,49.4,25.9,11,Transporte_Publico,1
38,11.0,Sim,12.5,Nao,20.8,38.8,19.0,8,Carro_Particular,0
33,9.3,Sim,16.7,Nao,30.5,61.8,24.9,7,Carro_Particular,0
62,16.2,Nao,19.2,Sim,35.5,50.6,23.7,10,Carro_Particular,0
35,19.6,Nao,20.6,Sim,41.1,78.0,24.6,5,Carro_Particular,0
64,11.6,Sim,16.4,Nao,31.7,46.9,27.1,8,Carro_Particular,0
70,7.1,Sim,21.9,Nao,40.8,56.0,28.2,6,Carro_Particular,0
41,1.8,Nao,5.1,Sim,5.4,20.5,8.7,11,Carro_Particular,0
43,18.6,Sim,7.1,Sim,18.3,18.3,16.2,14,Transporte_Publico,1
42,18.5,Sim,24.7,Sim,56.1,90.0,33.7,15,Carro_Particular,0
62,5.8,Sim,10.4,Nao,28.2,27.7,25.7,9,Transporte_Publico,1
58,14.2,Sim,1.7,Sim,5.0,7.6,5.0,6,Carro_Particular,0
46,2.4,Nao,5.5,Sim,15.3,5.1,13.2,8,Transporte_Publico,1
32,4.2,Nao,7.5,Nao,16.2,29.0,13.4,13,Carro_Particular,0
62,5.1,Sim,28.8,Sim,54.7,80.2,49.2,6,Carro_Particular,0
18,6.6,Sim,17.6,Sim,38.9,58.3,20.8,15,Carro_Particular,0
42,19.9,Nao,28.0,Nao,52.9,80.6,50.0,7,Transporte_Publico,1
24,14.2,Nao,17.7,Nao,33.5,36.7,25.7,15,Transporte_Publico,1
26,8.3,Sim,14.9,Sim,22.9,45.7,25.7,13,Transporte_Publico,1
41,15.0,Nao,10.1,Sim,17.9,31.0,22.4,12,Carro_Particular,0
18,18.4,Nao,18.6,Sim,38.5,62.8,24.9,7,Carro_Particular,0
61,19.2,Nao,5.0,Sim,17.8,27.4,11.6,4,Carro_Particular,0
25,2.1,Sim,27.0,Nao,52.2,90.0,36.6,8,Carro_Particular,0
41,8.5,Sim,25.1,Sim,45.0,82.2,44.6,7,Transporte_Publico,1
28,3.0,Nao,10.2,Sim,27.9,32.8,11.5,4,Transporte_Publico,1
68,7.4,Sim,28.6,Sim,54.7,74.4,43.1,9,Transporte_Publico,1
34,4.2,Nao,24.9,Sim,41.1,76.3,38.9,8,Carro_Particular,0
25,13.3,Sim,20.3,Sim,41.3,62.6,34.4,11,Carro_Particular,0
52,8.4,Sim,4.5,Nao,7.4,11.9,16.6,10,Transporte_Publico,1
52,5.4,Sim,14.9,Sim,41.3,49.8,20.1,5,Carro_Particular,0
50,6.1,Sim,15.7,Nao,33.8,56.1,29.2,15,Carro_Particular,0
22,7.8,Nao,7.7,Nao,14.7,16.6,21.4,6,Transporte_Publico,1
59,5.9,Nao,3.3,Sim,5.0,5.0,5.8,8,Transporte_Publico,1
56,9.6,Nao,23.5,Sim,48.7,69.4,32.5,9,Carro_Particular,0
58,1.6,Sim,4.5,Sim,16.3,8.6,5.0,13,Transporte_Publico,1
45,6.3,Sim,18.2,Sim,38.0,41.5,36.7,5,Transporte_Publico,1
24,8.8,Sim,28.2,Sim,52.2,76.6,41.1,8,Carro_Particular,0
26,12.5,Sim,26.4,Sim,55.5,69.3,34.6,10,Transporte_Publico,1
25,6.1,Sim,9.1,Sim,18.0,37.0,6.9,6,Carro_Particular,0
29,3.5,Sim,25.7,Nao,53.6,90.0,33.5,10,Carro_Particular,0
51,2.4,Sim,1.0,Sim,5.0,5.0,6.1,14,Transporte_Publico,1
50,18.9,Sim,1.5,Nao,5.0,8.9,7.5,15,Carro_Particular,0
65,8.9,Nao,18.5,Sim,34.9,62.5,31.0,4,Carro_Particular,0
40,12.0,Nao,11.6,Nao,27.9,22.9,18.1,6,Transporte_Publico,1
41,18.5,Sim,12.2,Sim,22.6,37.9,12.1,7,Carro_Particular,0
54,2.6,Sim,17.4,Sim,32.5,72.5,22.5,8,Carro_Particular,0
52,17.7,Nao,6.6,Nao,8.5,25.2,5.0,6,Transporte_Publico,1
61,11.5,Sim,7.1,Sim,16.5,19.3,13.5,6,Transporte_Publico,1
57,4.1,Nao,15.1,Sim,31.8,40.8,17.3,15,Carro_Particular,0
39,8.8,Nao,22.9,Nao,43.6,52.5,30.8,14,Transporte_Publico,1
44,15.8,Sim,19.0,Sim,34.5,60.8,27.6,4,Carro_Particular,0
52,10.1,Sim,9.6,Sim,28.6,44.4,6.1,7,Transporte_Publico,1
18,19.7,Sim,13.5,Nao,17.6,34.0,20.5,8,Carro_Particular,0
52,8.2,Sim,5.9,Nao,14.3,5.0,8.3,6,Carro_Particular,0
54,15.2,Sim,3.2,Nao,12.9,5.0,10.7,10,Transporte_Publico,1
64,8.5,Nao,23.7,Sim,30.5,78.2,31.5,11,Carro_Particular,0
31,16.8,Sim,8.7,Nao,21.4,22.7,6.6,13,Carro_Particular,0
20,11.8,Sim,6.2,Sim,11.3,12.0,7.4,12,Transporte_Publico,1
18,2.2,Nao,21.1,Nao,43.5,63.5,26.2,10,Carro_Particular,0
22,1.7,Nao,18.9,Nao,36.2,58.5,28.5,11,Transporte_Publico,1
43,3.5,Sim,19.4,Nao,44.2,47.1,19.8,7,Transporte_Publico,1
31,1.3,Sim,7.6,Nao,17.0,21.1,8.4,10,Transporte_Publico,1
56,2.4,Sim,7.7,Sim,16.1,19.1,6.9,9,Transporte_Publico,1
44,14.1,Sim,7.4,Nao,10.3,17.1,13.9,5,Carro_Particular,0
26,11.2,Sim,6.0,Nao,21.4,9.9,5.0,6,Transporte_Publico,1
32,15.2,Sim,20.0,Sim,40.0,67.5,21.3,7,Carro_Particular,0
32,18.4,Nao,25.6,Nao,60.0,71.6,37.4,14,Transporte_Publico,1
43,12.1,Sim,22.0,Sim,53.6,50.0,34.6,6,Transporte_Publico,1
59,14.8,Nao,24.0,Nao,39.1,74.1,34.6,7,Carro_Particular,0
30,15.4,Nao,12.7,Nao,22.1,43.9,16.0,8,Transporte_Publico,1
68,8.2,Sim,20.0,Nao,34.8,53.6,26.6,11,Carro_Particular,0
49,5.6,Nao,11.3,Sim,22.4,29.4,17.5,5,Carro_Particular,0
56,4.9,Sim,16.2,Sim,33.3,43.4,19.9,15,Carro_Particular,0
66,5.8,Nao,15.0,Sim,31.1,42.2,20.9,13,Carro_Particular,0
69,6.2,Sim,6.1,Nao,17.5,27.2,12.9,10,Carro_Particular,0
49,4.9,Sim,12.2,Sim,31.9,35.7,11.8,11,Transporte_Publico,1
21,17.7,Sim,29.0,Sim,60.0,90.0,43.3,4,Carro_Particular,0
47,15.4,Nao,8.2,Nao,13.6,16.8,5.0,7,Transporte_Publico,1
54,1.9,Nao,4.9,Sim,5.9,11.6,8.5,12,Transporte_Publico,1
40,6.1,Sim,13.1,Nao,26.2,46.9,14.8,4,Carro_Particular,0
56,1.4,Nao,23.9,Nao,49.9,65.3,40.9,7,Carro_Particular,0
62,10.5,Sim,17.9,Nao,34.9,61.8,19.5,10,Carro_Particular,0
32,10.0,Sim,20.7,Sim,34.7,57.1,33.3,6,Carro_Particular,0
60,16.8,Sim,6.5,Sim,16.4,16.9,15.9,14,Carro_Particular,0
46,6.8,Sim,18.9,Sim,35.8,70.1,23.2,5,Carro_Particular,0
53,16.5,Sim,10.4,Sim,18.7,27.7,11.3,12,Carro_Particular,0
30,19.4,Nao,25.2,Sim,50.1,76.8,33.1,9,Transporte_Publico,1
49,2.7,Sim,19.2,Sim,37.2,62.5,26.4,12,Carro_Particular,0
24,16.0,Sim,6.8,Nao,11.8,22.2,12.8,7,Carro_Particular,0
68,12.2,Sim,2.9,Nao,5.0,10.7,5.0,9,Carro_Particular,0
39,10.1,Nao,2.2,Sim,5.0,6.1,5.0,13,Transporte_Publico,1
45,9.0,Nao,11.8,Nao,27.1,25.0,7.6,9,Transporte_Publico,1
19,15.9,Sim,8.7,Nao,18.7,28.9,21.1,7,Carro_Particular,0
59,13.1,Nao,19.7,Nao,44.1,53.2,38.0,9,Carro_Particular,0
62,16.3,Sim,15.5,Nao,27.4,52.7,26.1,11,Carro_Particular,0
70,18.2,Nao,8.7,Sim,11.0,37.1,9.0,8,Transporte_Publico,1
23,12.7,Sim,5.3,Sim,9.4,5.0,11.7,14,Transporte_Publico,1
45,19.6,Nao,4.7,Sim,6.3,25.1,11.8,7,Carro_Particular,0
45,12.6,Sim,26.1,Sim,49.6,75.0,37.9,9,Carro_Particular,0
61,13.1,Sim,8.1,Nao,17.3,23.3,12.4,12,Carro_Particular,0
61,11.5,Nao,19.9,Nao,37.3,52.4,36.0,11,Carro_Particular,0
37,2.7,Sim,24.5,Sim,42.7,75.0,28.5,13,Carro_Particular,0
47,14.8,Sim,18.8,Sim,34.8,56.9,33.2,15,Carro_Particular,0
28,11.4,Sim,25.9,Nao,53.5,86.3,37.3,8,Carro_Particular,0
45,9.6,Sim,12.4,Sim,28.2,31.3,13.0,5,Transporte_Publico,1
42,18.3,Sim,28.7,Sim,60.0,90.0,37.9,4,Carro_Particular,0
56,6.7,Sim,4.9,Nao,11.9,20.0,5.0,12,Carro_Particular,0
50,10.9,Sim,4.0,Sim,7.2,12.7,5.0,13,Carro_Particular,0
18,14.3,Sim,20.1,Sim,42.2,58.9,39.0,6,Carro_Particular,0
44,16.1,Nao,28.3,Sim,56.4,82.4,44.9,5,Transporte_Publico,1
69,9.7,Sim,24.5,Nao,49.6,71.6,42.1,4,Carro_Particular,0
30,17.0,Sim,3.2,Sim,5.0,10.9,7.6,13,Carro_Particular,0
58,15.6,Sim,9.1,Sim,18.4,25.6,14.0,7,Transporte_Publico,1
20,2.3,Sim,28.0,Sim,57.9,78.9,42.4,8,Carro_Particular,0
56,1.9,Nao,8.3,Sim,18.3,26.3,10.5,9,Transporte_Publico,1
23,12.8,Sim,23.7,Sim,41.0,64.4,34.0,13,Carro_Particular,0
25,7.6,Sim,24.9,Nao,50.3,77.3,30.3,11,Carro_Particular,0
44,5.0,Nao,15.4,Sim,23.6,44.4,28.5,10,Transporte_Publico,1
26,12.0,Nao,12.2,Nao,25.3,42.2,9.2,5,Carro_Particular,0
54,7.5,Sim,14.1,Sim,24.7,50.2,15.9,9,Carro_Particular,0
50,11.2,Nao,7.6,Sim,23.7,30.7,21.5,11,Transporte_Publico,1
68,9.7,Nao,26.8,Sim,54.2,82.9,40.9,15,Carro_Particular,0
59,12.1,Sim,14.1,Sim,32.2,45.8,22.0,6,Carro_Particular,0
61,8.6,Nao,26.6,Sim,60.0,77.2,43.1,4,Carro_Particular,0
41,14.3,Nao,4.1,Sim,5.0,17.7,5.0,4,Transporte_Publico,1
32,4.4,Sim,29.7,Sim,60.0,90.0,37.6,8,Carro_Particular,0
49,14.2,Sim,13.9,Nao,21.9,29.2,18.6,13,Carro_Particular,0
49,8.8,Sim,2.4,Sim,6.5,10.2,5.0,4,Transporte_Publico,1
41,17.6,Nao,2.1,Nao,13.0,17.2,5.0,9,Transporte_Publico,1
58,10.8,Nao,22.6,Nao,42.1,64.9,36.3,7,Carro_Particular,0
69,19.5,Sim,20.1,Sim,35.8,55.7,37.1,4,Carro_Particular,0
66,12.4,Sim,24.3,Sim,48.1,69.5,40.5,9,Carro_Particular,0
66,5.3,Sim,4.1,Sim,18.4,5.0,5.0,6,Transporte_Publico,1
69,16.6,Sim,2.0,Sim,7.9,7.0,5.0,7,Transporte_Publico,1
29,7.6,Sim,15.7,Sim,26.9,47.3,20.3,11,Transporte_Publico,1
56,7.6,Sim,12.2,Nao,31.7,38.2,13.2,9,Carro_Particular,0
19,1.6,Nao,14.4,Sim,20.5,46.5,15.4,5,Carro_Particular,0
20,11.4,Sim,29.8,Sim,60.0,83.0,50.0,15,Transporte_Publico,1
66,11.2,Nao,29.2,Nao,60.0,89.8,43.9,11,Carro_Particular,0
54,7.8,Sim,28.3,Sim,60.0,88.4,41.3,12,Carro_Particular,0
66,18.0,Sim,23.7,Nao,39.2,67.2,38.0,4,Carro_Particular,0
34,3.4,Sim,11.3,Sim,23.4,37.3,19.6,4,Transporte_Publico,1
66,7.3,Sim,13.0,Sim,25.3,39.6,25.1,4,Transporte_Publico,1
19,7.1,Nao,16.9,Sim,28.8,45.7,21.6,6,Transporte_Publico,1
19,2.8,Sim,25.1,Sim,43.7,77.6,39.7,8,Carro_Particular,0
45,10.1,Nao,3.0,Nao,8.5,6.7,5.0,14,Transporte_Publico,1
40,14.1,Sim,13.3,Sim,29.6,45.5,19.0,9,Carro_Particular,0
54,10.7,Nao,3.4,Nao,13.3,8.3,5.4,7,Carro_Particular,0
49,4.0,Sim,15.9,Sim,29.3,37.4,24.6,10,Carro_Particular,0
50,8.2,Nao,27.1,Sim,53.5,83.4,41.2,5,Carro_Particular,0
18,1.0,Nao,23.7,Sim,40.5,72.9,39.6,10,Carro_Particular,0
36,17.5,Sim,7.6,Sim,22.9,14.2,8.4,10,Transporte_Publico,1
19,2.6,Sim,29.3,Nao,58.9,90.0,44.9,12,Carro_Particular,0
70,12.3,Nao,20.4,Sim,44.4,66.8,26.8,15,Carro_Particular,0
61,19.7,Nao,1.3,Sim,6.4,5.0,16.6,6,Transporte_Publico,1
43,11.2,Sim,8.4,Sim,24.1,19.9,8.0,9,Transporte_Publico,1
49,18.6,Nao,8.6,Sim,13.0,24.7,9.4,14,Transporte_Publico,1
23,5.5,Nao,3.0,Sim,9.5,5.0,8.9,12,Transporte_Publico,1
49,15.4,Nao,28.8,Sim,57.5,90.0,41.1,9,Carro_Particular,0
21,11.1,Nao,14.9,Nao,40.3,45.9,26.8,14,Carro_Particular,0
28,14.7,Nao,27.0,Sim,49.8,72.3,41.3,4,Carro_Particular,0
34,2.2,Sim,10.3,Sim,26.5,24.3,13.4,14,Transporte_Publico,1
55,3.8,Sim,4.6,Sim,11.0,23.3,5.0,4,Carro_Particular,0
41,3.5,Sim,14.8,Sim,31.1,56.7,18.3,10,Transporte_Publico,1
22,14.1,Nao,4.3,Nao,8.9,17.2,5.0,13,Carro_Particular,0
69,17.0,Nao,15.1,Sim,36.9,43.6,21.8,6,Carro_Particular,0
51,15.2,Sim,27.7,Sim,56.7,79.6,37.4,9,Carro_Particular,0
23,1.6,Nao,16.1,Nao,24.6,52.7,23.6,7,Carro_Particular,0
39,17.5,Nao,18.9,Sim,43.9,57.3,22.9,15,Carro_Particular,0
28,7.7,Sim,5.5,Sim,16.2,5.0,12.0,13,Transporte_Publico,1
65,8.5,Sim,2.3,Nao,7.5,15.2,8.2,11,Transporte_Publico,1
33,3.0,Sim,4.2,Nao,5.0,23.4,5.0,10,Carro_Particular,0
50,15.0,Sim,18.4,Nao,31.9,61.1,23.8,13,Carro_Particular,0
26,4.5,Sim,3.8,Sim,5.0,5.0,6.6,8,Transporte_Publico,1
23,11.7,Sim,11.9,Sim,26.1,30.6,24.2,8,Carro_Particular,0
33,17.0,Sim,17.0,Sim,27.3,36.1,32.9,12,Transporte_Publico,1
46,2.7,Sim,12.3,Sim,16.0,49.7,11.4,7,Carro_Particular,0
20,11.2,Sim,5.7,Nao,17.8,14.2,13.6,4,Carro_Particular,0
37,5.4,Sim,8.9,Sim,21.6,45.4,13.0,4,Carro_Particular,0
53,7.5,Nao,27.9,Nao,54.1,90.0,41.6,5,Transporte_Publico,1
36,10.0,Sim,20.6,Nao,40.5,54.6,33.4,13,Carro_Particular,0
43,7.7,Nao,15.4,Sim,18.8,40.5,20.7,9,Transporte_Publico,1
20,13.3,Nao,1.4,Sim,7.4,7.9,7.6,11,Transporte_Publico,1
36,10.1,Sim,29.8,Nao,56.1,75.4,50.0,8,Transporte_Publico,1
37,12.1,Sim,20.5,Sim,42.7,58.0,38.1,6,Carro_Particular,0
49,15.0,Sim,10.2,Nao,8.0,26.3,6.1,7,Carro_Particular,0
24,11.6,Sim,26.5,Sim,57.9,90.0,38.6,12,Carro_Particular,0
69,12.1,Sim,8.5,Sim,13.2,26.8,5.0,10,Transporte_Publico,1
58,11.7,Sim,16.8,Sim,26.7,48.1,21.4,14,Transporte_Publico,1
50,8.2,Sim,19.4,Nao,37.1,53.1,17.1,11,Transporte_Publico,1
57,7.4,Sim,7.4,Sim,11.8,29.4,13.4,10,Carro_Particular,0
56,18.1,Sim,29.4,Nao,60.0,84.2,45.2,10,Carro_Particular,0
35,12.5,Sim,22.7,Sim,43.3,67.7,31.9,14,Carro_Particular,0
57,5.6,Sim,17.2,Nao,41.2,46.5,21.8,12,Carro_Particular,0
18,10.5,Sim,6.2,Nao,14.1,6.5,10.9,4,Transporte_Publico,1
28,7.3,Sim,2.6,Sim,9.7,5.0,5.0,9,Carro_Particular,0
45,18.7,Nao,10.3,Sim,20.6,26.9,10.1,11,Carro_Particular,0
42,1.1,Sim,22.8,Nao,52.0,66.3,28.2,12,Carro_Particular,0
67,5.3,Sim,8.8,Sim,11.8,24.6,12.2,6,Carro_Particular,0
40,7.9,Sim,16.6,Nao,33.8,49.1,22.0,13,Carro_Particular,0
48,10.3,Sim,22.1,Sim,42.2,62.4,31.2,15,Carro_Particular,0
47,17.2,Nao,4.1,Nao,15.2,23.1,8.8,6,Transporte_Publico,1
59,2.7,Nao,20.9,Nao,49.3,70.3,36.2,13,Transporte_Publico,1
52,16.3,Sim,3.7,Nao,7.4,10.0,12.8,5,Carro_Particular,0
24,2.1,Nao,29.0,Sim,51.5,89.0,43.8,4,Carro_Particular,0
33,17.0,Nao,15.2,Sim,32.5,42.6,24.5,5,Carro_Particular,0
43,2.0,Nao,5.4,Sim,5.0,5.0,9.0,4,Transporte_Publico,1
65,1.3,Nao,10.9,Sim,29.9,32.9,8.0,13,Transporte_Publico,1
69,14.2,Nao,13.0,Sim,23.6,41.4,17.7,4,Carro_Particular,0
66,19.9,Sim,23.0,Sim,45.8,56.1,32.7,7,Transporte_Publico,1
19,18.0,Sim,22.6,Nao,41.8,71.8,31.3,5,Carro_Particular,0
18,11.9,Sim,18.7,Sim,32.9,53.9,27.8,7,Transporte_Publico,1
65,18.4,Sim,4.1,Sim,11.9,15.0,5.1,5,Transporte_Publico,1
29,1.1,Sim,5.4,Nao,10.0,14.2,5.0,11,Transporte_Publico,1
22,19.5,Sim,3.7,Sim,7.6,21.1,5.0,5,Carro_Particular,0
54,10.3,Sim,17.7,Sim,30.4,54.9,23.4,13,Carro_Particular,0
49,14.7,Nao,26.4,Nao,57.1,87.2,26.5,13,Transporte_Publico,1
26,16.6,Nao,13.6,Nao,32.0,49.5,13.4,4,Carro_Particular,0
58,14.7,Sim,5.7,Sim,10.4,8.1,9.0,13,Transporte_Publico,1
52,11.2,Sim,17.2,Sim,40.7,45.7,31.3,4,Transporte_Publico,1
36,10.1,Nao,24.5,Nao,48.5,77.1,24.6,6,Carro_Particular,0
65,16.9,Sim,22.5,Sim,48.9,64.6,29.4,4,Transporte_Publico,1
33,4.9,Nao,26.6,Sim,45.1,77.9,42.1,7,Carro_Particular,0
20,19.4,Sim,9.1,Sim,20.0,37.6,18.0,9,Transporte_Publico,1
37,14.5,Sim,6.6,Sim,11.8,17.3,7.8,12,Carro_Particular,0
41,4.8,Nao,26.5,Sim,53.8,71.7,36.3,7,Carro_Particular,0
50,15.0,Sim,20.1,Sim,40.8,53.6,36.2,11,Carro_Particular,0
41,11.1,Sim,10.0,Nao,20.6,47.5,19.0,6,Carro_Particular,0
69,14.4,Nao,22.5,Nao,48.1,66.1,38.0,12,Carro_Particular,0
28,15.6,Sim,24.6,Sim,46.4,62.9,34.6,6,Carro_Particular,0
66,2.7,Sim,18.8,Nao,40.4,42.2,33.8,5,Transporte_Publico,1
25,10.6,Nao,20.9,Nao,48.0,57.7,21.6,6,Carro_Particular,0
53,18.7,Sim,11.9,Sim,16.7,34.1,23.5,6,Transporte_Publico,1
